,"On a scale from 1 (not at all likely) to 10 (extremely likely), how likely are you to buy Maggi Masala again and recommend it to others?"
0,2
1,7
2,8
3,2
4,8
5,8
6,3
7,7
8,7
9,1
10,8
11,1
12,3
13,1
14,9
15,3
16,7
17,8
18,7
19,9
20,5
21,4
22,6
23,5
24,1
25,9
26,1
27,8
28,7
29,10
30,4
31,4
32,7
33,1
34,7
35,7
36,7
37,10
38,5
39,8
40,8
41,7
42,4
43,10
44,6
45,7
46,5
47,6
48,6
49,1
50,7
51,10
52,2
53,1
54,10
55,9
56,5
57,7
58,8
59,10
60,1
61,5
62,5
63,10
64,6
65,8
66,7
67,2
68,2
69,10
70,10
71,10
72,6
73,10
74,10
75,4
76,1
77,7
78,1
79,10
80,1
81,9
82,4
83,8
84,1
85,10
86,10
87,7
88,4
89,10
90,5
91,10
92,8
93,6
94,8
95,6
96,4
97,8
98,7
99,3
100,7
101,8
102,4
103,8
104,10
105,2
106,5
107,9
108,7
109,4
110,7
111,7
112,10
113,4
114,8
115,9
116,8
117,9
118,10
119,7
120,5
121,10
122,10
123,1
124,8
125,7
126,10
127,9
128,9
129,1
130,10
131,9
132,2
133,5
134,6
135,4
136,5
137,9
138,1
139,1
140,9
141,10
142,10
143,8
144,10
145,10
146,9
147,7
148,10
149,5
150,10
151,6
152,2
153,10
154,7
155,5
156,6
157,5
158,7
159,1
160,5
161,1
162,10
163,10
164,10
165,10
166,10
167,8
168,6
169,10
170,6
171,10
172,5
173,4
174,2
175,1
176,7
177,10
178,7
179,6
180,9
181,7
182,1
183,5
184,7
185,7
186,10
187,10
188,1
189,10
190,6
191,9
192,6
193,7
194,7
195,9
196,9
197,9
198,9
199,9
200,8
201,5
202,7
203,5
204,5
